feature,mean_abs_shap,share_abs
http_activity_count,1.4210165303194708,0.48840619988089706
device_consistency_score,0.4059506090609796,0.1395260294869576
usb_connection_count,0.22217321542878946,0.0763613747959003
file_access_count,0.2205230462966648,0.0757942083922832
login_count,0.21084755399702781,0.07246872249875866
after_hours_login_count,0.13206887977857948,0.045392335922145484
unique_device_count,0.09410682234056456,0.03234470148766577
sensitive_file_access_count,0.08781338126772807,0.030181633308671834
file_type_consistency_score,0.04445275479395518,0.015278499989209798
rare_device_usage_count,0.0369052499699897,0.012684407611672863
unusual_access_count,0.03173402644378618,0.010907047829236034
rare_file_type_access_count,0.0019052517246750237,0.0006548387966013678
